Rank	Score	Type	ID	Name	Description
1	99.9909	cp	BRD-A48261811	argatroban	Thrombin inhibitor
2	99.9453	kd	CGS001-5347	PLK1	Polo-like kinase (PLK) family
3	99.9453	kd	CGS001-8324	FZD7	GPCR / Class F : Frizzled receptors
4	99.9453	kd	CGS001-23149	FCHO1	-
5	99.9328	cp	BRD-K06557128	voriconazole	-
6	99.918	kd	CGS001-8879	SGPL1	Sphingosine 1-phosphate lyase
7	99.9074	oe	ccsbBroad304_07208	NRIP1	-
8	99.8992	cp	BRD-K19462402	buflomedil	Adrenergic receptor antagonist
9	99.8992	cp	BRD-K99063460	didanosine	Nucleoside reverse transcriptase inhibitor
10	99.8907	kd	CGS001-6271	S100A1	EF-hand domain containing
11	99.8907	kd	CGS001-55500	ETNK1	-
12	99.866	kd	CGS001-59343	SENP2	-
13	99.861	oe	ccsbBroad304_01411	RORC	Retinoic acid-related orphans
14	99.861	oe	ccsbBroad304_07217	AXIN2	-
15	99.8571	kd	CGS001-18	ABAT	GABA turnover
16	99.8488	cp	BRD-K48932581	cetraxate	Mucus protecting agent
17	99.832	cp	BRD-K85090592	pilocarpine	Acetylcholine receptor agonist
18	99.8147	oe	ccsbBroad304_03928	RRAGC	-
19	99.8147	oe	ccsbBroad304_07780	POLG2	DNA polymerases
20	99.8087	kd	CGS001-9519	TBPL1	-
21	99.8087	kd	CGS001-1024	CDK8	Cyclin-dependent kinases, CDK8 subfamily
22	99.808	cp	BRD-A24543851	nornicotine	Acetylcholine receptor agonist
23	99.7817	cp	BRD-K74117820	nelfinavir	-
24	99.7814	kd	CGS001-7405	UVRAG	-
25	99.7814	kd	CGS001-5868	RAB5A	RAB, member RAS oncogene
26	99.7814	kd	CGS001-2787	GNG5	-
27	99.7814	kd	CGS001-2260	FGFR1	Type V RTKs: FGF (fibroblast growth factor) receptor family
28	99.7684	oe	ccsbBroad304_02218	IKBKE	IKK family
29	99.7684	oe	ccsbBroad304_06678	OTX1	Homeoboxes / PRD class
30	99.7684	oe	ccsbBroad304_06004	CKB	-
31	99.754	kd	CGS001-3275	PRMT2	Protein arginine N-methyltransferases
32	99.7481	cp	BRD-A94543220	bifonazole	Sterol demethylase inhibitor
33	99.7481	cp	BRD-K57954781	BRD-K57954781	-
34	99.7443	cp	BRD-K10670311	sulfasalazine	Antirheumatic
35	99.7267	kd	CGS001-10094	ARPC3	Actin related protein 2/3 complex subunits
36	99.7145	cp	BRD-K87024524	phenelzine	Monoamine oxidase inhibitor
37	99.6994	kd	CGS001-4087	SMAD2	SMADs
38	99.6758	oe	ccsbBroad304_08978	ZNF672	Zinc fingers, C2H2-type
39	99.672	kd	CGS001-92595	ZNF764	Zinc fingers, C2H2-type
40	99.6641	cp	BRD-A23290232	westcort	Glucocorticoid receptor agonist
41	99.6447	kd	CGS001-84969	TOX2	-
42	99.6447	kd	CGS001-51274	KLF3	Kruppel-like transcription factors
43	99.6447	kd	CGS001-23081	KDM4C	Histone demethylases
44	99.6447	kd	CGS001-2203	FBP1	-
45	99.6295	oe	ccsbBroad304_00568	FHL2	-
46	99.5907	cp	BRD-K35483542	alitretinoin	Retinoid receptor agonist
47	99.5831	oe	ccsbBroad304_07724	KDELR2	-
48	99.578	cp	BRD-K84955386	hyperoside	Glucosidase inhibitor
49	99.5424	kd	CGS001-26994	RNF11	RING-type (C3HC4) zinc fingers
50	99.5368	oe	ccsbBroad304_06926	SDHA	Mitochondrial respiratory chain complex
51	99.5368	oe	ccsbBroad304_06324	GPX7	-
52	99.5368	oe	ccsbBroad304_05856	ASAH1	Acid ceramidase
53	99.5368	oe	ccsbBroad304_02761	SIRT3	Histone deacetylases (HDACs)
54	99.5342	cp	BRD-A42423104	benproperine	Antitussive
55	99.5129	cp	BRD-K89732114	trifluoperazine	Dopamine receptor antagonist
56	99.4905	oe	ccsbBroad304_03368	GPRC5B	GPCR / Class C : Orphans
57	99.4905	oe	ccsbBroad304_01948	GAS7	-
58	99.4883	cp	BRD-A87387433	cefpodoxime	Bacterial cell wall synthesis inhibitor
59	99.4807	kd	CGS001-390980	ZNF805	Zinc fingers, C2H2-type
60	99.4807	kd	CGS001-25803	SPDEF	ETS Transcription Factors
61	99.4807	kd	CGS001-57121	LPAR5	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid
62	99.4694	kd	CGS001-10587	TXNRD2	-
63	99.4625	cp	BRD-K93880783	stavudine	DNA directed DNA polymerase inhibitor
64	99.4625	cp	BRD-K31238592	devazepide	CCK receptor antagonist
65	99.4625	cp	BRD-K71059170	cefixime	-
66	99.4442	oe	ccsbBroad304_08255	ZNF219	Zinc fingers, C2H2-type
67	99.4442	oe	ccsbBroad304_09036	WDR61	WD repeat domain containing
68	99.4442	oe	ccsbBroad304_02018	SUCLA2	-
69	99.4442	oe	ccsbBroad304_00626	GDI1	-
70	99.434	cp	BRD-K55591206	epigallocatechin	Nitric oxide synthase inhibitor
71	99.4261	kd	CGS001-5573	PRKAR1A	Protein kinase A
72	99.416	cp	BRD-K45158365	valsartan	Angiotensin receptor antagonist
73	99.4138	kd	CGS001-3482	IGF2R	CD molecules
74	99.4045	cp	BRD-A42759514	ornidazole	Antiprotozoal
75	99.3979	oe	ccsbBroad304_01610	STAT4	SH2 domain containing
76	99.3954	cp	BRD-K20920669	cromoglicic-acid	Immunosuppressant
77	99.3954	cp	BRD-K97158071	droperidol	Dopamine receptor antagonist
78	99.3831	oe	ccsbBroad304_06198	FCGR2A	CD molecules
79	99.3802	cp	BRD-A37541666	naloxone	-
80	99.3441	kd	CGS001-1803	DPP4	Prolyl oligopeptidase
81	99.3114	cp	BRD-K56064827	EI-273	PKC inhibitor
82	99.3052	oe	ccsbBroad304_07124	UROD	-
83	99.3052	oe	ccsbBroad304_02163	MED7	-
84	99.3052	oe	ccsbBroad304_03604	ENOSF1	-
85	99.301	kd	CGS001-11035	RIPK3	Receptor interacting protein kinase (RIPK) family
86	99.2894	kd	CGS001-26292	MYCBP	-
87	99.2894	kd	CGS001-23647	ARFIP2	-
88	99.2879	oe	ccsbBroad304_00889	JUNB	basic leucine zipper proteins
89	99.2793	cp	BRD-K55889443	rifapentine	-
90	99.2777	cp	BRD-U37049823	HG-6-64-01	RAF inhibitor
91	99.261	cp	BRD-M47793593	picrotoxin	-
92	99.2589	oe	ccsbBroad304_03340	LSR	Immunoglobulin superfamily / Immunoglobulin-like domain containing
93	99.2589	oe	ccsbBroad304_00975	MAT2A	-
94	99.2582	kd	CGS001-63027	SLC22A23	Orphan or poorly characterized SLC22 family members
95	99.2106	cp	BRD-A74771556	nikkomycin	Chitin inhibitor
96	99.2061	cp	BRD-K78373679	RO-3306	CDK inhibitor
97	99.1963	cp	BRD-K48300629	zonisamide	Sodium channel blocker
98	99.1898	kd	CGS001-122618	PLD4	-
99	99.1801	kd	CGS001-4664	NAB1	-
100	99.1528	kd	CGS001-64116	SLC39A8	SLC39 family of metal ion transporters
101	99.1528	kd	CGS001-5437	POLR2H	RNA polymerase subunits
102	99.1301	kd	CGS001-2538	G6PC	-
103	99.1255	cp	BRD-A34817987	itraconazole	Cytochrome P450 inhibitor
104	99.1254	kd	CGS001-406	ARNTL	Basic helix-loop-helix proteins
105	99.1235	kd	CGS001-8396	PIP4K2B	1-phosphatidylinositol-5-phosphate 4-kinase family
106	99.12	oe	ccsbBroad304_02826	SLC7A11	Solute carriers
107	99.12	oe	ccsbBroad304_01105	PNP	-
108	99.1098	cp	BRD-K66615216	moxifloxacin	Bacterial DNA gyrase inhibitor
109	99.0981	kd	CGS001-29079	MED4	-
110	99.0981	kd	CGS001-3608	ILF2	-
111	99.0981	kd	CGS001-54583	EGLN1	2-oxoglutarate oxygenases
112	99.0736	oe	ccsbBroad304_02137	TRIP13	ATPases / AAA-type
113	99.0736	oe	ccsbBroad304_01623	SUPT4H1	-
