Rank	Score	Type	ID	Name	Description
1	99.9923	cp	BRD-K73824630	skatole	Thrombin inhibitor
2	99.9496	cp	BRD-K58938839	cyclopamine	-
3	99.9328	cp	BRD-K91336023	mesulergine	Dopamine receptor agonist
4	99.9115	cp	BRD-K87932577	CDK1-5-inhibitor	CDK inhibitor
5	99.8907	kd	CGS001-2963	GTF2F2	General transcription factors
6	99.8824	cp	BRD-K86682249	BRD-K86682249	-
7	99.8656	cp	BRD-K63151507	MNITMT	Lymphocyte inhibitor
8	99.8488	cp	BRD-K64310881	MW-STK33-3B	Potassium channel activator
9	99.832	cp	BRD-K28680267	BRD-K28680267	-
10	99.8152	cp	BRD-A36318220	necrostatin-1	RIPK inhibitor
11	99.8147	oe	ccsbBroad304_08453	PPP2R3C	Serine/threonine phosphatases / Protein phosphatase 2, regulatory subunits
12	99.7649	cp	BRD-K60174629	z-prolyl-prolinal	Prolyl endopeptidase inhibitor
13	99.7649	cp	BRD-K83597974	pargyline	Monoamine oxidase inhibitor
14	99.754	kd	CGS001-51160	VPS28	-
15	99.7313	cp	BRD-K27351809	nomegestrol	Progesterone receptor agonist
16	99.7313	cp	BRD-K52459643	prostaglandin-e1	Prostanoid receptor agonist
17	99.7267	kd	CGS001-84875	PARP10	Poly (ADP-ribose) polymerases
18	99.7221	oe	ccsbBroad304_03080	C16ORF80	-
19	99.6994	kd	CGS001-147694	ZNF548	Zinc fingers, C2H2-type
20	99.6994	kd	CGS001-6715	SRD5A1	-
21	99.6809	cp	BRD-K33308633	INCA-6	Calcineurin inhibitor
22	99.6641	cp	BRD-K75615183	talipexole	Adrenergic receptor agonist
23	99.6576	cp	BRD-K33204703	AG-370	PDGFR receptor inhibitor
24	99.6174	kd	CGS001-5562	PRKAA1	AMPK subfamily
25	99.6137	cp	BRD-K48367671	febuxostat	Xanthine oxidase inhibitor
26	99.5465	cp	BRD-K52721684	PCO-400	Potassium channel activator
27	99.5368	oe	ccsbBroad304_04064	PRR15L	-
28	99.5186	cp	BRD-K64044582	linoleamide	ACAT inhibitor
29	99.4961	cp	BRD-K26015241	ODQ	Guanylyl cyclase inhibitor
30	99.4843	cp	BRD-K79353516	indolophenanthridine	CALY activator
31	99.4807	kd	CGS001-9702	CEP57	-
32	99.4638	kd	CGS001-4722	NDUFS3	Mitochondrial respiratory chain complex / Complex I
33	99.4122	cp	BRD-K13356952	methazolamide	Carbonic anhydrase inhibitor
34	99.3966	cp	BRD-K25906698	immepip	Histamine receptor agonist
35	99.3282	cp	BRD-K62929068	6-benzylaminopurine	Purinergic receptor activator
36	99.3114	cp	BRD-K95655893	MAZ-51	VEGFR inhibitor
37	99.2894	kd	CGS001-54386	TERF2IP	-
38	99.2106	cp	BRD-K31792052	pifithrin	Interleukin receptor antagonist
39	99.1801	kd	CGS001-28511	NKIRAS2	-
40	99.0427	cp	BRD-K32412559	morphothebaine	Adrenergic receptor antagonist
41	99.0273	oe	ccsbBroad304_04732	ZNF488	Zinc fingers, C2H2-type
42	99.0161	kd	CGS001-4734	NEDD4	-
43	99.0064	kd	CGS001-81848	SPRY4	-
44	99.0003	oe	ccsbBroad304_02455	CREB3	basic leucine zipper proteins
45	98.8521	kd	CGS001-3675	ITGA3	Integrins
46	98.8243	cp	BRD-A89337244	PD-102807	Acetylcholine receptor antagonist
47	98.7975	kd	CGS001-134860	TAAR9	GPCR / Class A : Trace amine associated receptors
48	98.7067	cp	BRD-K74763371	bosentan	Endothelin receptor antagonist
49	98.6662	cp	BRD-K52620403	STO-609	Calmodulin antagonist
50	98.6636	cp	BRD-K25504083	cytochalasin-d	Actin polymerization inhibitor
51	98.6409	oe	ccsbBroad304_02332	MBNL2	Zinc fingers, CCCH-type domain containing
52	98.6062	kd	CGS001-3275	PRMT2	Protein arginine N-methyltransferases
53	98.606	cp	BRD-A26334849	propafenone	Antiarrhythmic
54	98.5754	cp	BRD-K50311478	tosyl-phenylalanyl-chloromethyl-ketone	Chymotrypsin inhibitor
55	98.5228	cp	BRD-K41143549	BRD-K41143549	Glutamate receptor antagonist
56	98.5178	oe	ccsbBroad304_00706	GTF2B	General transcription factors
57	98.4931	cp	BRD-A84205515	estriol	-
58	98.4715	oe	ccsbBroad304_08993	DHDDS	-
59	98.4252	oe	ccsbBroad304_07354	ASH2L	Zinc fingers, PHD-type
60	98.3927	cp	BRD-K41713976	E-4031	Potassium channel blocker
61	98.3875	kd	CGS001-147179	WIPF2	-
62	98.3789	oe	ccsbBroad304_07126	VARS	Aminoacyl tRNA synthetases / Class I
63	98.3664	cp	BRD-K80527266	triacsin-c	Adrenergic receptor antagonist
64	98.341	cp	BRD-K20313525	rosmarinic-acid	GABA transaminase inhibitor
65	98.3326	oe	ccsbBroad304_04616	ORMDL3	-
66	98.3304	cp	BRD-K55468218	spiperone	Dopamine receptor antagonist
67	98.3274	cp	BRD-K28667793	pyrazinamide	Fatty acid synthase inhibitor
68	98.3143	cc		MDM2 MDM4 Inhibitor Grp2	-
69	98.2758	kd	CGS001-2639	GCDH	-
70	98.2701	cp	BRD-K08547377	irinotecan	Topoisomerase inhibitor
71	98.1936	oe	ccsbBroad304_02086	PDLIM1	-
72	98.1695	cp	BRD-K14048378	BRD-K14048378	-
73	98.1473	oe	ccsbBroad304_04082	SLC52A2	SLC52 family of riboflavin transporters
74	98.127	kd	CGS001-6182	MRPL12	Mitochondrial ribosomal proteins / large subunits
75	98.1168	oe	ccsbBroad304_08389	DHX29	DEAH-boxes
76	98.1145	cp	BRD-K46441700	GR-55562	Serotonin receptor antagonist
77	98.101	oe	ccsbBroad304_01466	RRM2	Ribonucleoside-diphosphate reductases
78	98.0698	cp	BRD-A94297859	BRD-A94297859	-
79	98.0275	oe	ccsbBroad304_00933	LDHB	-
80	97.9835	cp	BRD-K69556541	ryanodine	Calcium channel blocker
81	97.918	kd	CGS001-5361	PLXNA1	Plexins
82	97.8826	kd	CGS001-64400	AKTIP	Ubiquitin-conjugating enzymes E2
83	97.8065	kd	CGS001-390148	OR5W2	GPCR / Class A : Olfactory receptors
84	97.8041	cp	BRD-K51302260	KU-C103871	GSP agonist
85	97.7469	kd	CGS001-51447	IP6K2	-
86	97.728	cp	BRD-K67578145	GDC-0879	RAF inhibitor
87	97.7046	cp	BRD-K91243525	SR-142948	Neurotensin receptor antagonist
88	97.6864	kd	CGS001-7753	ZNF202	Zinc fingers, C2H2-type
89	97.5916	kd	CGS001-4773	NFATC2	Nuclear factor of activated T-cells
90	97.5909	cp	BRD-A44827100	erythromycin	-
91	97.5772	kd	CGS001-23119	HIC2	BTB/POZ domain containing
92	97.5676	kd	CGS001-8678	BECN1	-
93	97.5499	kd	CGS001-4552	MTRR	-
94	97.5464	oe	ccsbBroad304_06708	PDGFRB	Type III RTKs: PDGFR, CSFR, Kit, FLT3 receptor family
95	97.5424	cp	BRD-K16664969	GTP-14564	FLT3 inhibitor
96	97.5331	kd	CGS001-147686	ZNF418	Zinc fingers, C2H2-type
97	97.5101	kd	CGS001-10955	SERINC3	-
98	97.4815	cp	BRD-A94669766	naringenin	Aromatase inhibitor
99	97.4699	cp	BRD-K88429204	pyrimethamine	Dihydrofolate reductase inhibitor
100	97.4525	oe	ccsbBroad304_01361	RAB27A	RAB, member RAS oncogene
101	97.4484	cp	BRD-A47494775	dipivefrine	Adrenergic receptor agonist
102	97.4303	cp	BRD-K09859624	methantheline	Acetylcholine receptor antagonist
103	97.4193	cp	BRD-K71103788	duloxetine	Serotonin reuptake inhibitor
104	97.3425	kd	CGS001-9655	SOCS5	SH2 domain containing
105	97.3138	oe	ccsbBroad304_05930	CAMK2D	CAMK2 family
106	97.3136	cp	BRD-K03384561	roquinimex	Angiogenesis inhibitor
107	97.2827	cp	BRD-K06198550	isorotenone	Mitochondrial complex I inhibitor
108	97.2055	oe	ccsbBroad304_04454	FBXL20	F-boxes / Leucine-rich repeats
109	97.1929	cp	BRD-K39187410	BRD-K39187410	-
110	97.185	kd	CGS001-3778	KCNMA1	Calcium-activated potassium channels
111	97.1822	cp	BRD-K76908866	CP-724714	EGFR inhibitor
112	97.1597	cp	BRD-K54708045	nTZDpa	PPAR receptor agonist
113	97.1464	oe	ccsbBroad304_06777	PRNP	CD molecules
114	97.1283	oe	ccsbBroad304_01266	PPP3CA	Serine/threonine phosphatases / Protein phosphatase, catalytic subunits
115	97.1142	cp	BRD-A11990600	lorazepam	Benzodiazepine receptor agonist
116	97.105	cp	BRD-A54029483	IRL-2500	Endothelin receptor antagonist
117	97.0941	kd	CGS001-10112	KIF20A	Kinesins
118	97.0062	cp	BRD-K39188321	betamethasone	-
119	96.9231	cp	BRD-K24023109	diltiazem	-
120	96.9071	cp	BRD-K89626439	sirolimus	MTOR inhibitor
121	96.8942	cp	BRD-K93095519	SJ-172550	MDM inhibitor
122	96.8674	kd	CGS001-28985	MCTS1	-
123	96.8611	cp	BRD-K10467831	tibolone	Androgen receptor agonist
124	96.8571	kd	CGS001-10901	DHRS4	Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1
125	96.8539	kd	CGS001-25874	BRP44	-
126	96.8507	cp	BRD-K20655524	mefexamide	Psychoactive drug
127	96.8483	kd	CGS001-9314	KLF4	Kruppel-like transcription factors
128	96.8272	oe	ccsbBroad304_02759	DICER1	-
129	96.814	cp	BRD-K48168960	propylthiouracil	Thyroid peroxidase inhibitor
130	96.7962	cp	BRD-K24675965	LY-288513	CCK receptor antagonist
131	96.7448	oe	ccsbBroad304_02384	SMNDC1	Tudor domain containing
132	96.7397	cp	BRD-A93477898	PETCM	Caspase activator
133	96.6651	oe	ccsbBroad304_01131	OXCT1	-
134	96.6651	oe	ccsbBroad304_02497	YKT6	-
135	96.6162	oe	ccsbBroad304_06431	IFNAR2	Interferon receptor family
136	96.6057	kd	CGS001-29916	SNX11	Sorting nexins
137	96.5564	kd	CGS001-1508	CTSB	Cathepsins
138	96.5433	kd	CGS001-4720	NDUFS2	Mitochondrial respiratory chain complex / Complex I
139	96.5334	oe	ccsbBroad304_08553	STAP2	-
140	96.5333	cp	BRD-A72596465	GW-6471	PPAR receptor antagonist
141	96.5288	kd	CGS001-3508	IGHMBP2	Zinc fingers, AN1-type domain containing
142	96.5014	kd	CGS001-10473	HMGN4	High-mobility group / Canonical
143	96.4907	cp	BRD-K54987996	CAY-10578	Casein kinase inhibitor
144	96.4832	cp	BRD-K82484965	carmoxirole	Dopamine receptor agonist
145	96.4764	cp	BRD-K39520573	GW-5074	Leucine rich repeat kinase inhibitor
146	96.4746	kd	CGS001-1036	CDO1	-
147	96.47	cc		Serotonin Receptor Antagonist	-
148	96.4408	kd	CGS001-6300	MAPK12	MAPK:p38 subfamily
149	96.4258	cp	BRD-K89402695	L-655240	Thromboxane receptor antagonist
150	96.4198	kd	CGS001-29998	GLTSCR1	-
151	96.3872	oe	ccsbBroad304_02351	DHRS2	Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1
152	96.3409	oe	ccsbBroad304_08605	PBK	TOPK family
153	96.3165	cp	BRD-A09722536	cyclophosphamide	DNA alkylating agent
154	96.2574	cp	BRD-A95939040	sertaconazole	Sterol demethylase inhibitor
155	96.2543	kd	CGS001-84288	EFCAB2	EF-hand domain containing
156	96.2285	kd	CGS001-3957	LGALS2	Lectins, galactoside-binding
157	96.202	cp	BRD-K43245338	MDL-28170	Calpain inhibitor
158	96.1978	kd	CGS001-10670	RRAGA	-
159	96.1956	kd	CGS001-11180	WDR6	WD repeat domain containing
160	96.1849	cp	BRD-K55044200	amoxicillin	Penicillin binding protein inhibitor
161	96.1791	cp	BRD-K79404599	enzastaurin	PKC inhibitor
162	96.1731	kd	CGS001-51805	COQ3	-
163	96.0978	oe	ccsbBroad304_07780	POLG2	DNA polymerases
164	96.0955	kd	CGS001-1747	DLX3	Homeoboxes / ANTP class : NKL subclass
165	96.0918	kd	CGS001-2182	ACSL4	Acyl-CoA synthetase family
166	96.0816	kd	CGS001-901	CCNG2	-
167	96.0726	cp	BRD-K33453211	levocabastine	Histamine receptor antagonist
168	96.0702	cp	BRD-A21723284	naltriben	Opioid receptor antagonist
169	96.0582	cp	BRD-K19360254	ergocornine	Dopamine receptor agonist
170	96.0537	cp	BRD-K08109516	L-701324	Glutamate receptor antagonist
171	96.0345	kd	CGS001-256281	NUDT14	Nudix motif containing
172	96.0307	cp	BRD-K63915849	AS-604850	PI3K inhibitor
173	96.0173	kd	CGS001-7534	YWHAZ	-
174	96.0091	oe	ccsbBroad304_03182	GLOD4	-
