Rank	Score	Type	ID	Name	Description
1	99.9962	cp	BRD-A24514565	warfarin	Vitamin K antagonist
2	99.9496	cp	BRD-A55369275	CGP-54626	GABA receptor antagonist
3	99.9453	kd	CGS001-9552	SPAG7	-
4	99.9453	kd	CGS001-9111	NMI	-
5	99.9074	oe	ccsbBroad304_00577	FOXO3	Forkhead boxes
6	99.9074	oe	ccsbBroad304_07123	UQCRFS1	Mitochondrial respiratory chain complex / Complex III
7	99.9074	oe	ccsbBroad304_03404	POLE3	DNA polymerases
8	99.8907	kd	CGS001-3554	IL1R1	Interleukins and interleukin receptors
9	99.8656	cp	BRD-K75532464	FTI-276	Farnesyltransferase inhibitor
10	99.8633	kd	CGS001-26520	TIMM9	-
11	99.8633	kd	CGS001-5167	ENPP1	-
12	99.836	kd	CGS001-9774	BCLAF1	-
13	99.8343	cp	BRD-A65597028	RX-821002	Adrenergic receptor antagonist
14	99.8147	oe	ccsbBroad304_01795	ZNF22	Zinc fingers, C2H2-type
15	99.8147	oe	ccsbBroad304_06134	ECH1	-
16	99.8087	kd	CGS001-9352	TXNL1	-
17	99.7985	cp	BRD-A53077924	tianeptine	Selective serotonin reuptake enhancer (SSRE)
18	99.7814	kd	CGS001-81876	RAB1B	RAB, member RAS oncogene
19	99.7814	kd	CGS001-3588	IL10RB	IL-10 receptor family
20	99.7814	kd	CGS001-25932	CLIC4	Ion channels / Chloride channels : Intracellular
21	99.7684	oe	ccsbBroad304_07129	VIPR1	GPCR / Class B : VIP and PACAP (ADCYAP1) receptors
22	99.7684	oe	ccsbBroad304_03555	PANK4	-
23	99.7684	oe	ccsbBroad304_07056	TGFB1	Endogenous ligands
24	99.7684	oe	ccsbBroad304_02401	AKR1A1	Aldo-keto reductases
25	99.7313	cp	BRD-A92161634	scopoline	Acetylcholine receptor antagonist
26	99.7221	oe	ccsbBroad304_00611	GALE	Short chain dehydrogenase/reductase superfamily / Extended SDR fold
27	99.7088	cp	BRD-K50422030	clomethiazole	GABA receptor antagonist
28	99.6994	kd	CGS001-6286	S100P	EF-hand domain containing
29	99.6987	kd	CGS001-8408	ULK1	Unc-51-like kinase (ULK) family
30	99.672	kd	CGS001-2023	ENO1	-
31	99.6447	kd	CGS001-57521	RPTOR	WD repeat domain containing
32	99.6295	oe	ccsbBroad304_07459	SOCS5	SH2 domain containing
33	99.6295	oe	ccsbBroad304_03808	ERGIC1	-
34	99.6174	kd	CGS001-220	ALDH1A3	Aldehyde dehydrogenases
35	99.59	kd	CGS001-9975	NR1D2	Rev-Erb receptors
36	99.59	kd	CGS001-2744	GLS	Ankyrin repeat domain containing
37	99.5831	oe	ccsbBroad304_02579	YWHAQ	-
38	99.5831	oe	ccsbBroad304_03005	HCAR1	GPCR / Class A : Hydroxy-carboxylic acid receptors
39	99.5756	kd	CGS001-2194	FASN	Short chain dehydrogenase/reductase superfamily / Atypical members
40	99.5706	oe	ccsbBroad304_06236	XRCC6	XRCC DNA Repair
41	99.5627	kd	CGS001-55176	SEC61A2	-
42	99.5627	kd	CGS001-501	ALDH7A1	Aldehyde dehydrogenases
43	99.5368	oe	ccsbBroad304_08394	UGT1A6	UDP glucuronosyltransferases
44	99.5368	oe	ccsbBroad304_06340	GTF2H3	General transcription factors
45	99.5368	oe	ccsbBroad304_09910	BCL6B	BTB/POZ domain containing
46	99.5368	oe	ccsbBroad304_14389	PSMA8	Proteasome (prosome, macropain) subunits
47	99.5354	kd	CGS001-3670	ISL1	Homeoboxes / LIM class
48	99.4905	oe	ccsbBroad304_06022	COX7B	Mitochondrial respiratory chain complex
49	99.4534	kd	CGS001-26762	HAVCR1	Immunoglobulin superfamily / V-set domain containing
50	99.4261	kd	CGS001-51097	SCCPDH	-
51	99.4261	kd	CGS001-57121	LPAR5	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid
52	99.4122	cp	BRD-A66199457	asiaticoside	Antineoplastic
53	99.404	kd	CGS001-6184	RPN1	-
54	99.3979	oe	ccsbBroad304_02759	DICER1	-
55	99.3441	kd	CGS001-8869	ST3GAL5	Sialyltransferases
56	99.3167	kd	CGS001-79142	PHF23	Zinc fingers, PHD-type
57	99.2974	kd	CGS001-10810	WASF3	-
58	99.2958	kd	CGS001-167465	ZNF366	Zinc fingers, C2H2-type
59	99.293	cp	BRD-K77793136	hydroxyfasudil	Rho associated kinase inhibitor
60	99.2894	kd	CGS001-2166	FAAH	Endocannabinoid turnover
61	99.2621	kd	CGS001-8996	NOL3	-
62	99.2589	oe	ccsbBroad304_06453	ING2	Zinc fingers, PHD-type
63	99.2589	oe	ccsbBroad304_06535	LPL	-
64	99.2348	kd	CGS001-51001	MTERFD1	-
65	99.2145	cp	BRD-K46766488	S-14506	Serotonin receptor agonist
66	99.2118	cp	BRD-K68103045	CGS-20625	Benzodiazepine receptor agonist
67	99.2074	kd	CGS001-10641	NPRL2	-
68	99.2074	kd	CGS001-4775	NFATC3	Nuclear factor of activated T-cells
69	99.1861	cp	BRD-A47598013	citalopram	Serotonin reuptake inhibitor
70	99.1801	kd	CGS001-285676	ZNF454	Zinc fingers, C2H2-type
71	99.1801	kd	CGS001-7357	UGCG	Glycosyltransferase family 2 domain containing
72	99.1745	cp	BRD-K07220430	cinnarizine	Calcium channel blocker
73	99.1663	oe	ccsbBroad304_01372	RALB	-
74	99.1254	kd	CGS001-2769	GNA15	-
75	99.1008	cp	BRD-A37780065	triamcinolone	-
76	99.0981	kd	CGS001-51530	ZC3HC1	Zinc fingers, C3HC-type
77	99.0981	kd	CGS001-57822	GRHL3	-
78	99.0708	kd	CGS001-8165	AKAP1	A-kinase anchor proteins
79	99.0708	kd	CGS001-23597	ACOT9	Acyl CoA thioesterases
80	99.0595	cp	BRD-K75181824	acetyl-geranygeranyl-cysteine	Inhibitor of methyl esterification of geranylgeranylated proteins
81	98.9728	oe	ccsbBroad304_02686	COPZ1	-
82	98.9723	kd	CGS001-4352	MPL	Prolactin receptor family
