Rank	Score	Type	ID	Name	Description
1	NaN	cc		Tubulin	-
2	99.9748	cp	BRD-K73824630	skatole	Thrombin inhibitor
3	99.7684	oe	ccsbBroad304_01872	DGCR14	-
4	99.7221	oe	ccsbBroad304_00164	BLMH	-
5	99.6706	kd	CGS001-472	ATM	Other PIKK family kinases
6	99.589	cp	BRD-K59650319	YM-298198	Glutamate receptor antagonist
7	99.5447	cp	BRD-A61189834	BRD-A61189834	-
8	99.5208	kd	CGS001-6608	SMO	GPCR / Class F : Frizzled receptors
9	99.5208	kd	CGS001-56923	NMUR2	GPCR / Class A : Neuromedin U receptors
10	99.4909	kd	CGS001-136259	KLF14	Kruppel-like transcription factors
11	99.4855	cp	BRD-K63533170	AM-630	Cannabinoid receptor antagonist
12	99.4609	kd	CGS001-976	CD97	Adhesion Class GPCRs
13	99.431	kd	CGS001-7082	TJP1	-
14	99.3611	kd	CGS001-3598	IL13RA2	IL-2 receptor family
15	99.3504	cc		PI3K Signaling	-
16	NaN	cc		Non Homologous End Joining	-
17	99.8384	cc		G2 M Checkpoint	-
18	NaN	cc		Vitamin D Agonist	-
19	99.3052	oe	ccsbBroad304_03625	HIF1AN	-
20	99.3036	cp	BRD-K03015355	forskolin	-
21	99.2589	oe	ccsbBroad304_01337	PTHLH	Endogenous ligands
22	99.2589	oe	ccsbBroad304_01321	PSMD5	Proteasome (prosome, macropain) subunits
23	99.2513	kd	CGS001-6390	SDHB	Mitochondrial respiratory chain complex / Complex II
24	99.2513	kd	CGS001-203	AK1	Adenylate kinases
25	99.2126	oe	ccsbBroad304_13891	LCK	Src family
26	99.2126	oe	ccsbBroad304_00880	IRF2	-
27	99.187	cp	BRD-K12932420	YM-976	Phosphodiesterase inhibitor
28	99.1663	oe	ccsbBroad304_08553	STAP2	-
29	99.1568	cp	BRD-K50938786	ropivacaine	Sodium channel blocker
30	99.1545	cp	BRD-K84266862	BRL-50481	Phosphodiesterase inhibitor
31	99.12	oe	ccsbBroad304_10882	HLA-DRB1	Immunoglobulin superfamily / C1-set domain containing
32	99.12	oe	ccsbBroad304_00688	GRB2	SH2 domain containing
33	99.1079	cp	BRD-A75517195	thiazolopyrimidine	CDC inhibitor
34	99.0736	oe	ccsbBroad304_09831	CERS3	Homeoboxes / CERS class
35	99.0569	cp	BRD-K71427192	BRD-K71427192	-
36	99.0314	oe	ccsbBroad304_06178	ERCC5	-
37	98.9919	cp	BRD-K83597974	pargyline	Monoamine oxidase inhibitor
38	98.9817	kd	CGS001-1111	CHEK1	CHK1 subfamily
39	98.9518	kd	CGS001-7376	NR1H2	Liver X receptor-like receptors
40	98.9462	kd	CGS001-57117	INTS12	Zinc fingers, PHD-type
41	98.8619	kd	CGS001-861	RUNX1	-
42	98.8421	oe	ccsbBroad304_06575	MEF2A	Myocyte enhancer factors
43	98.832	kd	CGS001-1030	CDKN2B	-
44	98.802	kd	CGS001-55892	MYNN	BTB/POZ domain containing
45	98.7957	oe	ccsbBroad304_00866	IMPA1	Inositol monophosphatase
46	98.7721	kd	CGS001-5163	PDK1	-
47	98.7721	kd	CGS001-55082	ARGLU1	-
48	98.7122	kd	CGS001-7106	TSPAN4	Tetraspanins
49	98.7119	kd	CGS001-4708	NDUFB2	Mitochondrial respiratory chain complex / Complex I
50	98.7031	oe	ccsbBroad304_01481	SARS	Aminoacyl tRNA synthetases / Class II
51	98.6837	cp	BRD-K28453807	nitrocaramiphen	Cholinergic receptor antagonist
52	98.6822	kd	CGS001-7490	WT1	Zinc fingers, C2H2-type
53	98.6779	cp	BRD-K88871508	lisuride	Dopamine receptor agonist
54	98.6699	kd	CGS001-23536	ADAT1	-
55	98.6667	cp	BRD-K38775274	dexamethasone	-
56	98.6599	oe	ccsbBroad304_02505	GNB5	WD repeat domain containing
57	98.6568	oe	ccsbBroad304_00512	EPO	Endogenous ligands
58	98.6523	kd	CGS001-337867	UBAC2	-
59	98.6523	kd	CGS001-2	A2M	-
60	98.6341	cp	BRD-K91781484	BRD-K91781484	-
61	98.6223	kd	CGS001-164091	PAQR7	-
62	98.6105	oe	ccsbBroad304_06191	FABP6	Fatty acid binding protein family
63	98.5891	kd	CGS001-1606	DGKA	EF-hand domain containing
64	98.5726	kd	CGS001-221393	GPR115	Adhesion Class GPCRs
65	98.5641	oe	ccsbBroad304_07884	RYBP	-
66	98.5641	oe	ccsbBroad304_01282	PRKCB	Alpha subfamily
67	98.5624	kd	CGS001-51176	LEF1	-
68	98.5325	kd	CGS001-6655	SOS2	Rho guanine nucleotide exchange factors
69	98.5325	kd	CGS001-24140	FTSJ1	-
70	98.512	cp	BRD-K81783531	VX-222	HCV inhibitor
71	98.5041	cp	BRD-K12762134	XAV-939	Tankyrase inhibitor
72	98.4726	kd	CGS001-1105	CHD1	-
73	98.4426	kd	CGS001-3783	KCNN4	Calcium-activated potassium channels
74	98.4318	kd	CGS001-29105	C16ORF80	-
75	98.4125	cp	BRD-K60060639	methyllidocaine	antiarrhythmic medication
76	98.3828	kd	CGS001-6285	S100B	EF-hand domain containing
77	98.3588	oe	ccsbBroad304_02716	NMNAT2	-
78	98.3279	oe	ccsbBroad304_07766	RASSF1	-
79	98.3049	cp	BRD-K14807180	SB-221284	Serotonin receptor antagonist
80	98.263	kd	CGS001-11254	SLC6A14	Glycine transporter subfamily
81	98.255	cp	BRD-K51751936	alfadolone	GABA receptor agonist
82	98.2409	oe	ccsbBroad304_04478	ALG2	Glycosyltransferase group 1 domain containing
