Rank	Score	Type	ID	Name	Description
1	99.916	cp	BRD-A85860691	chaetocin	Histone lysine methyltransferase inhibitor
2	99.8686	cp	BRD-A22713669	BVT-948	Tyrosine phosphatase inhibitor
3	99.8682	cp	BRD-A47513740	calyculin	Protein phosphatase inhibitor
4	99.8656	cp	BRD-K78126613	menadione	Mitochondrial DNA polymerase inhibitor
5	99.832	cp	BRD-K73982490	BI-78D3	JNK inhibitor
6	99.7985	cp	BRD-K68143200	SA-792541	CDC inhibitor
7	99.7309	cc		NFKB Pathway Inhibitor	-
8	99.7221	oe	ccsbBroad304_01418	RPL7	L ribosomal proteins
9	99.6758	oe	ccsbBroad304_02804	KLHDC2	-
10	99.6414	cp	BRD-A41451487	PK-11195	Benzodiazepine receptor antagonist
11	99.6305	cp	BRD-K74402642	NSC-632839	Ubiquitin specific protease inhibitor
12	99.6163	cp	BRD-A79465854	auranofin	NFkB pathway inhibitor
13	99.6054	cp	BRD-A58564983	selamectin	Nematocide
14	99.5774	cc		RAR Agonist Grp2	-
15	99.5633	cp	BRD-K07303502	arachidonyl-trifluoro-methane	Cytosolic phospholipase inhibitor
16	99.5515	kd	CGS001-9761	MLEC	-
17	99.5465	cp	BRD-K47150025	KI-8751	VEGFR inhibitor
18	99.5209	cp	BRD-K57718010	pentylenetetrazol	GABA receptor antagonist
19	99.5092	cc		Topoisomerase I Inhibitor	-
20	99.4961	cp	BRD-A77216878	manumycin-a	-
21	99.4905	oe	ccsbBroad304_00430	GADD45A	-
22	99.3979	oe	ccsbBroad304_00517	ESR1	Estrogen receptors
23	99.388	cp	BRD-A52193669	withaferin-a	IKK inhibitor
24	99.3618	cp	BRD-A06352508	SB-218078	CHK inhibitor
25	99.2629	cp	BRD-K15025317	BAY-11-7821	NFkB pathway inhibitor
26	99.2589	oe	ccsbBroad304_06639	NFYB	-
27	99.2589	oe	ccsbBroad304_02203	MAD2L1BP	-
28	99.2554	oe	ccsbBroad304_06982	SNRNP70	RNA binding motif (RRM) containing
29	99.2549	oe	ccsbBroad304_06996	SRM	-
30	99.2348	kd	CGS001-383	ARG1	Arginase
31	99.2126	oe	ccsbBroad304_03197	NDUFA13	Mitochondrial respiratory chain complex / Complex I
32	99.2113	kd	CGS001-85236	HIST1H2BK	Histones / Replication-dependent
33	99.2106	cp	BRD-K28296557	AKT-inhibitor-IV	AKT inhibitor
34	99.2106	cp	BRD-A36630025	SN-38	Topoisomerase inhibitor
35	99.2094	cp	BRD-K72895815	SSR-69071	Leukocyte elastase inhibitor
36	99.1528	kd	CGS001-6697	SPR	Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1
37	99.1441	cp	BRD-K76534306	enrofloxacin	Bacterial DNA gyrase inhibitor
38	99.1376	cp	BRD-K78599730	manumycin-a	Farnesyltransferase inhibitor
39	99.1341	cc		Proteasome Inhibitor	-
40	99.1271	kd	CGS001-7040	TGFB1	Endogenous ligands
41	99.1266	cp	BRD-K24132293	piperlongumine	Glutathione transferase inhibitor
42	99.0869	cp	BRD-K26669427	WR-216174	PFMRK inhibitor
43	99.0864	cp	BRD-U37049823	HG-6-64-01	RAF inhibitor
44	99.0783	cp	BRD-K55696337	topotecan	-
45	99.0736	oe	ccsbBroad304_01377	RARG	Retinoic acid receptors
46	99.0736	oe	ccsbBroad304_01872	DGCR14	-
47	99.0259	cp	BRD-K61033289	15-delta-prostaglandin-j2	-
48	98.9888	kd	CGS001-7386	UQCRFS1	Mitochondrial respiratory chain complex / Complex III
49	98.981	oe	ccsbBroad304_01038	MSRA	-
50	98.9065	cp	BRD-A46747628	ouabain	-
51	98.896	oe	ccsbBroad304_00238	CCNE1	-
52	98.8795	kd	CGS001-7533	YWHAH	-
53	98.8528	cp	BRD-K78659596	MLN-2238	Proteasome inhibitor
54	98.8488	cp	BRD-K06426971	ryuvidine	Histone lysine methyltransferase inhibitor
55	98.8035	kd	CGS001-6364	CCL20	Chemokine ligands
56	98.7848	cp	BRD-A55484088	BNTX	Opioid receptor antagonist
57	98.7801	kd	CGS001-1875	E2F5	-
58	98.6809	oe	ccsbBroad304_05394	ZNF621	Zinc fingers, C2H2-type
59	98.6797	cp	BRD-A30437061	camptothecin	Topoisomerase inhibitor
60	98.6568	oe	ccsbBroad304_02691	PUF60	RNA binding motif (RRM) containing
61	98.6365	cc		ATPase Inhibitor	-
62	98.6253	cp	BRD-A28105619	cucurbitacin-i	JAK inhibitor
63	98.588	kd	CGS001-8692	HYAL2	-
64	98.5724	cp	BRD-K28120222	parthenolide	NFkB pathway inhibitor
65	98.5641	oe	ccsbBroad304_01261	PPP1R8	Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits
66	98.5619	cp	BRD-A48237631	mitomycin-c	DNA alkylating agent
67	98.5592	cp	BRD-K54256913	MK-1775	WEE1 kinase inhibitor
68	98.5326	cp	BRD-K14618467	IKK-16	IKK inhibitor
69	98.5228	oe	ccsbBroad304_08802	ELAC2	-
70	98.5178	oe	ccsbBroad304_07131	VRK1	Vaccina related kinase (VRK) family
71	98.5168	cp	BRD-A94709349	metaxalone	Muscle relaxant
72	98.4884	oe	ccsbBroad304_06934	SFPQ	RNA binding motif (RRM) containing
73	98.4884	cp	BRD-K06792661	narciclasine	Coflilin signaling pathway activator
74	98.4841	kd	CGS001-7994	KAT6A	Histone acetyltransferases (HATs)
75	98.4252	oe	ccsbBroad304_01779	WNT5A	Endogenous ligands
76	98.4252	oe	ccsbBroad304_02571	TOMM34	Tetratricopeptide (TTC) repeat domain containing
77	98.4252	oe	ccsbBroad304_01789	SF1	Zinc fingers, CCHC domain containing
78	98.4116	cp	BRD-K28907958	CD-437	Retinoid receptor agonist
79	98.4044	cp	BRD-K51318897	fenbendazole	Tubulin inhibitor
80	98.4044	cp	BRD-K98490050	amsacrine	Topoisomerase inhibitor
81	98.3876	cp	BRD-K98824517	BRD-K98824517	-
82	98.3875	kd	CGS001-7468	WHSC1	Zinc fingers, PHD-type
83	98.3875	kd	CGS001-2224	FDPS	Lanosterol biosynthesis pathway
84	98.3825	kd	CGS001-1975	EIF4B	RNA binding motif (RRM) containing
85	98.3789	oe	ccsbBroad304_02324	TRAP1	Heat shock proteins / HSPC
86	98.3789	oe	ccsbBroad304_08053	TAF5L	WD repeat domain containing
87	98.3548	oe	ccsbBroad304_03112	NENF	-
88	98.3177	oe	ccsbBroad304_00961	SMAD2	SMADs
89	98.287	oe	ccsbBroad304_03573	BRF2	-
90	98.2807	oe	ccsbBroad304_06372	HLA-DPB1	Immunoglobulin superfamily / C1-set domain containing
