Rank	Score	Type	ID	Name	Description
1	99.9923	cp	BRD-A55815733	phylloquinone	Vitamin K
2	99.9504	cp	BRD-A73929928	BRD-A73929928	-
3	99.9453	kd	CGS001-23196	FAM120A	-
4	99.9453	kd	CGS001-25842	ASF1A	-
5	99.9328	cp	BRD-A11170096	pravastatin	HMGCR inhibitor
6	99.9328	cp	BRD-K71926323	marbofloxacin	Bacterial DNA gyrase inhibitor
7	99.916	cp	BRD-K72903603	zidovudine	Reverse transcriptase inhibitor
8	99.916	cp	BRD-A58207013	pinacidil	-
9	99.9074	oe	ccsbBroad304_09036	WDR61	WD repeat domain containing
10	99.9074	oe	ccsbBroad304_02533	NOXA1	-
11	99.9074	oe	ccsbBroad304_03822	GATAD2B	GATA zinc finger domain containing
12	99.9074	oe	ccsbBroad304_00328	CLK3	CDC-like kinases
13	99.9074	oe	ccsbBroad304_07363	AIFM1	-
14	99.8992	cp	BRD-K68756823	FR-180204	-666
15	99.8656	cp	BRD-K44276885	acarbose	-
16	99.8638	cp	BRD-A79803969	memantine	Glutamate receptor antagonist
17	99.8633	kd	CGS001-7536	SF1	Zinc fingers, CCHC domain containing
18	99.8633	kd	CGS001-10525	HYOU1	Heat shock proteins / HSP70
19	99.8633	kd	CGS001-8772	FADD	-
20	99.8488	cp	BRD-A79479878	testosterone	-
21	99.8488	cp	BRD-A20239487	atenolol	Adrenergic receptor antagonist
22	99.836	kd	CGS001-84923	FAM104A	-
23	99.8152	cp	BRD-K10016611	pyridine-2-aldoxime	Acetylcholinesterase inhibitor
24	99.8128	cp	BRD-A29734509	disopyramide	Sodium channel blocker
25	99.8087	kd	CGS001-79850	FAM57A	-
26	99.7814	kd	CGS001-3559	IL2RA	IL-2 receptor family
27	99.7814	kd	CGS001-84873	GPR128	Adhesion Class GPCRs
28	99.754	kd	CGS001-5440	POLR2K	RNA polymerase subunits
29	99.754	kd	CGS001-415116	PIM3	PIM family
30	99.7284	kd	CGS001-5695	PSMB7	Proteasome subunits
31	99.7267	kd	CGS001-53836	GPR87	GPCR / Class A : Orphans
32	99.7235	cp	BRD-K95402279	geranylgeraniol	Farnesyltransferase inhibitor
33	99.6994	kd	CGS001-7080	NKX2-1	Homeoboxes / ANTP class : NKL subclass
34	99.6836	kd	CGS001-5134	PDCD2	Zinc fingers, MYND-type
35	99.6809	cp	BRD-K17693482	BRD-K17693482	-
36	99.6758	oe	ccsbBroad304_02569	BTG3	-
37	99.672	kd	CGS001-79894	ZNF672	Zinc fingers, C2H2-type
38	99.6473	cp	BRD-K83023055	GR-135531	Melatonin receptor agonist
39	99.6305	cp	BRD-K53790871	triamcinolone	Glucocorticoid receptor agonist
40	99.6295	oe	ccsbBroad304_07596	DLC1	Rho GTPase activating proteins
41	99.5969	cp	BRD-K00184207	GR-206	Aryl hydrocarbon receptor ligand
42	99.59	kd	CGS001-3460	IFNGR2	Interferon receptor family
43	99.59	kd	CGS001-54583	EGLN1	2-oxoglutarate oxygenases
44	99.5831	oe	ccsbBroad304_07337	TAF1B	-
45	99.5831	oe	ccsbBroad304_09058	SLC25A32	Mitochondrial nucleotide transporter subfamily
46	99.5627	kd	CGS001-9097	USP14	Ubiquitin-specific peptidases
47	99.5368	oe	ccsbBroad304_01795	ZNF22	Zinc fingers, C2H2-type
48	99.4807	kd	CGS001-2615	LRRC32	-
49	99.4807	kd	CGS001-79366	HMGN5	High-mobility group / Canonical
50	99.4665	cp	BRD-A84327315	calcitriol	Vitamin D receptor agonist
51	99.4625	cp	BRD-A83892713	rifampicin	RNA polymerase inhibitor
52	99.4483	cp	BRD-A32164164	methyllycaconitine	Acetylcholine receptor antagonist
53	99.4457	cp	BRD-K72093121	vidarabine	Antiviral
54	99.4442	oe	ccsbBroad304_06401	HRH1	Histamine receptors
55	99.4387	cp	BRD-A44827100	erythromycin	-
56	99.4261	kd	CGS001-387509	GPR153	GPCR / Class A : Orphans
57	99.4159	kd	CGS001-8714	ABCC3	ATP binding cassette transporters / subfamily C
58	99.4122	cp	BRD-K21520694	sulfacetamide	PABA antagonist
59	99.4122	cp	BRD-A67605442	tetrahydrobiopterin	Nitric oxide stimulant
60	99.4122	cp	BRD-K90027355	spironolactone	Mineralocorticoid receptor antagonist
61	99.3987	kd	CGS001-56938	ARNTL2	Basic helix-loop-helix proteins
62	99.3954	cp	BRD-K91601245	mercaptopurine	Immunosuppressant
63	99.3813	cp	BRD-A31800922	procyclidine	Acetylcholine receptor antagonist
64	99.3714	kd	CGS001-114904	C1QTNF6	-
65	99.3618	cp	BRD-K47761761	PD-168077	Dopamine receptor agonist
66	99.3431	kd	CGS001-338557	O3FAR1	-
67	99.3405	cp	BRD-K96037667	norethindrone	Progesterone receptor agonist
68	99.2946	cp	BRD-A50157456	terbutaline	Adrenergic receptor agonist
69	99.2348	kd	CGS001-199704	ZNF585A	Zinc fingers, C2H2-type
70	99.2166	cp	BRD-K67102207	phenylbutyrate	HDAC inhibitor
71	99.2126	oe	ccsbBroad304_01008	KITLG	-
72	99.2126	oe	ccsbBroad304_03479	YTHDF1	-
73	99.2108	cp	BRD-K22828899	TUL-XXI039	Serine/threonine kinase inhibitor
74	99.2074	kd	CGS001-10782	ZNF274	Zinc fingers, C2H2-type
75	99.2072	cp	BRD-K54416256	methimazole	Antithyroid
76	99.2063	kd	CGS001-23466	CBX6	-
77	99.1712	cp	BRD-K15502390	nevirapine	Reverse transcriptase inhibitor
78	99.1663	oe	ccsbBroad304_00550	FDXR	-
79	99.1528	kd	CGS001-840	CASP7	Caspases
80	99.1521	cp	BRD-K66788707	fludarabine	DNA synthesis inhibitor
81	99.151	cp	BRD-A24228527	ofloxacin	Bacterial DNA gyrase inhibitor
82	99.1254	kd	CGS001-6595	SMARCA2	Non-enzymatic BRD containing proteins
83	99.12	oe	ccsbBroad304_02197	VPS26A	-
84	99.12	oe	ccsbBroad304_02681	MGLL	Endocannabinoid turnover
85	99.0944	cp	BRD-K99451608	lopinavir	HIV protease inhibitor
86	99.0688	cp	BRD-M47937986	cefatrizine	Bacterial cell wall synthesis inhibitor
87	99.0435	kd	CGS001-5610	EIF2AK2	Other PEK family kinases
88	99.0324	kd	CGS001-4637	MYL6	EF-hand domain containing
89	99.0273	oe	ccsbBroad304_07548	TSSC4	-
90	98.9923	cp	BRD-K06080977	eicosatetraynoic-acid	Cyclooxygenase inhibitor
91	98.9888	kd	CGS001-7771	ZFP112	-
92	98.9845	kd	CGS001-9412	MED21	-
93	98.9615	kd	CGS001-3149	HMGB3	High-mobility group / Canonical
94	98.955	kd	CGS001-57657	HCN3	Cyclic nucleotide-regulated channels
95	98.9347	oe	ccsbBroad304_06236	XRCC6	XRCC DNA Repair
96	98.9347	oe	ccsbBroad304_03853	LSM2	-
97	98.9068	kd	CGS001-523	ATP6V1A	ATPases / V-type
98	98.8906	kd	CGS001-55810	FOXJ2	Forkhead boxes
99	98.8889	oe	ccsbBroad304_07890	CBX7	-
100	98.8884	oe	ccsbBroad304_03239	DCXR	Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1
101	98.8827	cp	BRD-K96354014	nifedipine	Calcium channel blocker
102	98.8521	kd	CGS001-120103	SLC36A4	SLC36 family of proton-coupled amino acid transporters
103	98.8455	kd	CGS001-8850	KAT2B	Histone acetyltransferases (HATs)
104	98.8421	oe	ccsbBroad304_01091	NFIB	-
105	98.8248	kd	CGS001-7760	ZNF213	Zinc fingers, C2H2-type
106	98.8248	kd	CGS001-3156	HMGCR	Lanosterol biosynthesis pathway
107	98.8243	cp	BRD-K10852020	tolcapone	Catechol O methyltransferase inhibitor
108	98.8236	kd	CGS001-3708	ITPR1	Ion channels / Inositol triphosphate receptors
109	98.8227	kd	CGS001-9441	MED26	-
110	98.8152	cp	BRD-K05977823	tenovins	SIRT inhibitor
111	98.7975	kd	CGS001-57822	GRHL3	-
112	98.7494	oe	ccsbBroad304_03934	LEPRE1	-
113	98.7487	oe	ccsbBroad304_00863	IL15	Interleukins and interleukin receptors
114	98.7067	cp	BRD-A76019558	ketoconazole	-
115	98.7037	cp	BRD-A29260609	acebutolol	Adrenergic receptor antagonist
116	98.7031	oe	ccsbBroad304_08613	KLHL9	BTB/POZ domain containing
117	98.6962	oe	ccsbBroad304_00034	AES	-
118	98.6926	cp	BRD-A51182606	chloramphenicol	Protein synthesis inhibitor
119	98.6718	oe	ccsbBroad304_07875	SPECC1L	-
120	98.6712	cp	BRD-K75532464	FTI-276	Farnesyltransferase inhibitor
121	98.6564	cp	BRD-K22662435	ganciclovir	DNA polymerase inhibitor
122	98.6319	cp	BRD-A03323675	ritonavir	-
123	98.6054	kd	CGS001-3614	IMPDH1	Oxidoreductases
124	98.6039	cp	BRD-K18574842	nafcillin	Bacterial cell wall synthesis inhibitor
125	98.5967	cp	BRD-K10799896	clobetasol	-
126	98.5911	cp	BRD-K66615216	moxifloxacin	Bacterial DNA gyrase inhibitor
127	98.5556	cp	BRD-A39052811	mosapride	Serotonin receptor agonist
128	98.5483	kd	CGS001-51545	ZNF581	Zinc fingers, C2H2-type
129	98.5346	kd	CGS001-5868	RAB5A	RAB, member RAS oncogene
130	98.5323	kd	CGS001-3105	HLA-A	Immunoglobulin superfamily / C1-set domain containing
131	98.5242	kd	CGS001-718	C3	Endogenous ligands
132	98.5178	oe	ccsbBroad304_01555	SNAI2	Snail homologs
133	98.4695	kd	CGS001-9231	DLG5	-
134	98.4618	kd	CGS001-81856	ZNF611	Zinc fingers, C2H2-type
135	98.4111	kd	CGS001-90	ACVR1	Type I receptor serine/threonine kinases
136	98.4072	kd	CGS001-54546	RNF186	RING-type (C3HC4) zinc fingers
137	98.3795	oe	ccsbBroad304_01470	RXRG	Retinoid X receptors
138	98.3602	kd	CGS001-3726	JUNB	basic leucine zipper proteins
139	98.3329	kd	CGS001-114609	TIRAP	-
140	98.3326	oe	ccsbBroad304_00219	CARS	Aminoacyl tRNA synthetases / Class I
141	98.321	oe	ccsbBroad304_02040	NAE1	Ubiquitin-like modifier activating enzymes
142	98.3162	oe	ccsbBroad304_07123	UQCRFS1	Mitochondrial respiratory chain complex / Complex III
143	98.2883	cp	BRD-A75368507	demeclocycline	Bacterial 30S ribosomal subunit inhibitor
144	98.2862	oe	ccsbBroad304_01611	STAT6	SH2 domain containing
145	98.2444	cp	BRD-A79237180	ascorbic-acid	Antioxidant
146	98.2236	kd	CGS001-63874	ABHD4	Abhydrolase domain containing
147	98.2155	cp	BRD-K54411430	robustic-acid	cAMP inhibitor
148	98.204	cp	BRD-A93659613	GR-89696	Opioid receptor agonist
149	98.2018	cp	BRD-K57926513	tyrphostin-AG-1295	PDGFR receptor inhibitor
150	98.1886	cp	BRD-A74980173	gatifloxacin	Bacterial DNA gyrase inhibitor
151	98.1722	kd	CGS001-5950	RBP4	Lipocalins
152	98.0596	kd	CGS001-284119	PTRF	-
153	98.0464	cp	BRD-K88568253	iproniazid	Monoamine oxidase inhibitor
154	98.0322	kd	CGS001-256364	EML3	WD repeat domain containing
155	98.0321	oe	ccsbBroad304_02123	RPS6KA5	MSK subfamily
156	98.0175	cp	BRD-K25310650	ormetoprim	Bacterial antifolate
157	98.0138	cp	BRD-A98299281	velnacrine	cholinesterase inhibitor
158	97.9776	kd	CGS001-80274	SCUBE1	-
