Rank	Score	Type	ID	Name	Description
1	99.9951	cp	BRD-K18757346	U-46619	Thromboxane receptor agonist
2	99.935	cp	BRD-M62162320	rilmenidine	-
3	99.935	cp	BRD-K40990712	hexamethyleneamiloride	Sodium/hydrogen antiport inhibitor
4	99.935	cp	BRD-K00610438	altanserin	Serotonin receptor antagonist
5	99.935	cp	BRD-A97730597	hexylcaine	Sodium channel blocker
6	99.9074	oe	ccsbBroad304_08786	ZNF350	Zinc fingers, C2H2-type
7	99.9024	cp	BRD-K14767410	SC-560	Cyclooxygenase inhibitor
8	99.8802	kd	CGS001-54899	PXK	Slob family
9	99.8802	kd	CGS001-84844	PHF5A	Zinc fingers, PHD-type
10	99.8203	kd	CGS001-204851	HIPK1	HIPK subfamily
11	99.8203	kd	CGS001-2842	GPR19	GPCR / Class A : Orphans
12	99.8147	oe	ccsbBroad304_01732	UBA52	L ribosomal proteins
13	99.8147	oe	ccsbBroad304_07981	SENP6	Ulp1 endopeptidase
14	99.8147	oe	ccsbBroad304_01923	UXT	-
15	99.7724	cp	BRD-A84189516	baccatin-III	Paclitaxel precursor
16	99.7684	oe	ccsbBroad304_08840	KIF9	Kinesins
17	99.7309	cp	BRD-K31491153	1-phenylbiguanide	Serotonin receptor agonist
18	99.7305	kd	CGS001-10250	SRRM1	-
19	99.7305	kd	CGS001-1345	COX6C	Mitochondrial respiratory chain complex
20	99.7221	oe	ccsbBroad304_00937	LGALS2	Lectins, galactoside-binding
21	99.7221	oe	ccsbBroad304_04399	PGBD1	-
22	99.7005	kd	CGS001-222546	RFX6	-
23	99.7005	kd	CGS001-11044	PAPD7	-
24	99.6981	kd	CGS001-79177	ZNF576	Zinc fingers, C2H2-type
25	99.6748	cp	BRD-K26548821	quinpirole	Dopamine receptor agonist
26	99.6706	kd	CGS001-8804	CREG1	-
27	99.6618	cp	BRD-K93258693	GW-9662	PPAR receptor antagonist
28	99.6423	cp	BRD-K36965586	m-chlorophenylbiguanide	Serotonin receptor agonist
29	99.6423	cp	BRD-K26373640	IKK-2-inhibitor	IKK inhibitor
30	99.6423	cp	BRD-K30743633	TCPOBOP	CAR agonist
31	99.6372	oe	ccsbBroad304_07118	UGDH	-
32	99.6107	kd	CGS001-1314	COPA	Endogenous ligands
33	99.6098	cp	BRD-K83597974	pargyline	Monoamine oxidase inhibitor
34	99.5807	kd	CGS001-50846	DHH	-
35	99.5508	kd	CGS001-83694	RPS6KL1	RSKL family
36	99.5508	kd	CGS001-3158	HMGCS2	Lanosterol biosynthesis pathway
37	99.5447	cp	BRD-K73395020	SA-1478088	-666
38	99.5368	oe	ccsbBroad304_00273	CDC25B	Protein tyrosine phosphatases / Class III Cys-based PTPs
39	99.5268	cp	BRD-A20527803	IB-MECA	-
40	99.5208	kd	CGS001-146434	ZNF597	Zinc fingers, C2H2-type
41	99.4797	cp	BRD-K48692744	NU-1025	PARP inhibitor
42	99.4697	kd	CGS001-7321	UBE2D1	Ubiquitin-conjugating enzymes E2
43	99.4442	oe	ccsbBroad304_07354	ASH2L	Zinc fingers, PHD-type
44	99.431	kd	CGS001-5901	RAN	-
45	99.4263	cp	BRD-A50311610	meclozine	CAR agonist
46	99.4161	kd	CGS001-159	ADSS	-
47	99.4146	cp	BRD-K68407802	KIN001-055	EGFR inhibitor
48	99.4146	cp	BRD-K17868609	BRL-54443	Serotonin receptor agonist
49	99.401	kd	CGS001-3570	IL6R	IL-6 receptor family
50	99.3711	kd	CGS001-9170	LPAR2	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid
51	99.3496	cp	BRD-K13819402	desoxypeganine	Acetylcholinesterase inhibitor
52	99.344	oe	ccsbBroad304_06847	RBBP4	WD repeat domain containing
53	99.3052	oe	ccsbBroad304_01675	TK1	-
54	99.2846	cp	BRD-K98372770	L-2167	-
55	99.254	kd	CGS001-89849	ATG16L2	WD repeat domain containing
56	99.2513	kd	CGS001-831	CAST	-
57	99.235	kd	CGS001-54681	P4HTM	-
58	99.2213	kd	CGS001-2745	GLRX	-
59	99.187	cp	BRD-K46068882	eugenitol	Bacterial quorum sensing inhibitor
60	99.1663	oe	ccsbBroad304_01709	NR2C1	Testicular receptors
61	99.162	kd	CGS001-840	CASP7	Caspases
62	99.1015	kd	CGS001-3815	KIT	Type III RTKs: PDGFR, CSFR, Kit, FLT3 receptor family
63	99.0736	oe	ccsbBroad304_02187	POLR1C	RNA polymerase subunits
64	99.0585	oe	ccsbBroad304_00406	CYP1A1	Cytochrome P450s
65	99.0416	kd	CGS001-22891	ZNF365	Zinc fingers, C2H2-type
66	99.0273	oe	ccsbBroad304_02080	USP14	Ubiquitin-specific peptidases
67	99.0273	oe	ccsbBroad304_10882	HLA-DRB1	Immunoglobulin superfamily / C1-set domain containing
68	99.0244	cp	BRD-K61341215	vecuronium	Acetylcholine receptor antagonist
69	99.0117	kd	CGS001-6774	STAT3	SH2 domain containing
70	98.997	cp	BRD-K39356024	pregnenolone	-
71	98.9817	kd	CGS001-7159	TP53BP2	Ankyrin repeat domain containing
72	98.9594	cp	BRD-A26097136	bulleyaconitine-a	Non-opiod analgesic
73	98.9392	kd	CGS001-328	APEX1	-
74	98.9347	oe	ccsbBroad304_08935	CERS4	Homeoboxes / CERS class
75	98.8884	oe	ccsbBroad304_06079	CYP51A1	Cytochrome P450s
76	98.832	kd	CGS001-3146	HMGB1	High-mobility group / Canonical
77	98.8169	kd	CGS001-516	ATP5G1	ATPases / F-type
78	98.802	kd	CGS001-8204	NRIP1	-
79	98.7957	oe	ccsbBroad304_00370	CS	-
80	98.7528	oe	ccsbBroad304_06742	PML	RING-type (C3HC4) zinc fingers
81	98.6992	cp	BRD-K69195780	NAN-190	Serotonin receptor agonist
82	98.6822	kd	CGS001-11073	TOPBP1	-
83	98.6822	kd	CGS001-5709	PSMD3	Proteasome (prosome, macropain) subunits
84	98.6822	kd	CGS001-5352	PLOD2	-
85	98.6568	oe	ccsbBroad304_01242	POLR2I	RNA polymerase subunits
86	98.6523	kd	CGS001-22794	CASC3	-
87	98.6414	cp	BRD-K33572481	taurodeoxycholic-acid	Bile acid
88	98.6105	oe	ccsbBroad304_01019	MLH1	-
89	98.5745	kd	CGS001-8624	PSMG1	-
90	98.5691	cp	BRD-A93255169	thalidomide	TNF production inhibitor
91	98.5641	oe	ccsbBroad304_01640	TAF12	-
92	98.5366	cp	BRD-K28453807	nitrocaramiphen	Cholinergic receptor antagonist
93	98.5325	kd	CGS001-23380	SRGAP2	Rho GTPase activating proteins
94	98.5169	oe	ccsbBroad304_13813	ARAF	RAF family
95	98.5041	cp	BRD-A77050075	heraclenol	Vitamin K antagonist
96	98.4602	kd	CGS001-2629	GBA	-
97	98.4449	cp	BRD-A22380646	pantoprazole	ATPase inhibitor
98	98.4442	oe	ccsbBroad304_07800	EXOSC8	-
99	98.4426	kd	CGS001-9120	SLC16A6	SLC16 family of monocarboxylate transporters
100	98.3828	kd	CGS001-387509	GPR153	GPCR / Class A : Orphans
101	98.3789	oe	ccsbBroad304_00464	DTNA	-
102	98.3789	oe	ccsbBroad304_07709	AFG3L2	ATPases / AAA-type
103	98.2943	cp	BRD-K09790412	H-9	-
104	98.2929	kd	CGS001-8872	CDC123	-
105	98.2862	oe	ccsbBroad304_01008	KITLG	-
106	98.2764	cp	BRD-K17110974	aristolochic-acid	Phospholipase inhibitor
107	98.263	kd	CGS001-3489	IGFBP6	insulin-like growth factor (IGF) binding proteins
108	98.233	kd	CGS001-114785	MBD6	-
109	98.2236	oe	ccsbBroad304_00756	HMGCS2	Lanosterol biosynthesis pathway
110	98.2114	cp	BRD-K12057390	apigenin	-
111	98.1731	kd	CGS001-54732	TMED9	-
112	98.1473	oe	ccsbBroad304_01613	STK11	LKB subfamily
113	98.1432	kd	CGS001-2565	GABRG1	GABA receptors
114	98.0886	kd	CGS001-10174	SORBS3	-
115	98.0627	kd	CGS001-4869	NPM1	-
116	98.0547	oe	ccsbBroad304_01466	RRM2	Ribonucleoside-diphosphate reductases
117	98.0411	oe	ccsbBroad304_03848	METTL14	-
118	98.0288	cp	BRD-K31792052	pifithrin	Interleukin receptor antagonist
119	97.9837	cp	BRD-A16332958	modafinil	Adrenergic receptor agonist
120	97.9491	kd	CGS001-79722	ANKRD55	Ankyrin repeat domain containing
121	97.9036	kd	CGS001-1027	CDKN1B	-
122	97.8937	oe	ccsbBroad304_06309	UTS2R	Urotensin receptor
123	97.8679	kd	CGS001-84365	MKI67IP	-
124	97.8537	cp	BRD-K17415526	tyrphostin-AG-835	Protein tyrosine kinase inhibitor
125	97.8231	oe	ccsbBroad304_07662	NPRL2	-
126	97.7595	cp	BRD-K44899736	RO-16-6941	Monoamine oxidase inhibitor
127	97.7347	cp	BRD-K28183345	proguanil	Dihydrofolate reductase inhibitor
128	97.7304	oe	ccsbBroad304_02534	UTP14A	-
129	97.6939	kd	CGS001-3329	HSPD1	Heat Shock Proteins / Chaperonins
130	97.6814	kd	CGS001-10379	IRF9	-
131	97.6659	oe	ccsbBroad304_00611	GALE	Short chain dehydrogenase/reductase superfamily / Extended SDR fold
132	97.6589	cp	BRD-K06817181	BRD-K06817181	JAK inhibitor
133	97.6003	oe	ccsbBroad304_00986	MCM2	-
134	97.5963	oe	ccsbBroad304_02271	LPGAT1	-
135	97.5741	kd	CGS001-163071	ZNF114	Zinc fingers, C2H2-type
136	97.561	cp	BRD-A39290993	cyproterone	Androgen receptor antagonist
137	97.5571	cp	BRD-A12016240	LY-278584	Serotonin receptor antagonist
138	97.553	kd	CGS001-3157	HMGCS1	Lanosterol biosynthesis pathway
139	97.5228	kd	CGS001-1201	CLN3	-
140	97.5124	kd	CGS001-7185	TRAF1	-
141	97.4525	oe	ccsbBroad304_02884	POT1	-
142	97.4075	oe	ccsbBroad304_07976	RNF167	RING-type (C3HC4) zinc fingers
143	97.4062	oe	ccsbBroad304_06985	SORD	-
144	97.4034	cp	BRD-A31521121	methocarbamol	Muscle relaxant
145	97.3984	cp	BRD-K72541103	JAK3-inhibitor-I	JAK inhibitor
146	97.3944	kd	CGS001-79017	GGCT	Leukotriene and lipoxin metabolism
147	97.3316	kd	CGS001-9488	PIGB	Dolichyl D-mannosyl phosphate dependent mannosyltransferases
148	97.328	cp	BRD-K75478907	GS-39783	GABA receptor modulator
149	97.2801	kd	CGS001-90649	ZNF486	Zinc fingers, C2H2-type
150	97.2477	kd	CGS001-5315	PKM2	-
151	97.2426	cp	BRD-A41833852	naloxone	Opioid receptor antagonist
152	97.2365	oe	ccsbBroad304_07026	SYT1	Synaptotagmins
153	97.2085	oe	ccsbBroad304_00722	HSD17B10	Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1
154	97.1753	oe	ccsbBroad304_02592	KIF2C	Kinesins
155	97.1304	kd	CGS001-3490	IGFBP7	insulin-like growth factor (IGF) binding proteins
156	97.1297	kd	CGS001-1910	EDNRB	Endothelin receptors
157	97.1249	kd	CGS001-5696	PSMB8	Proteasome (prosome, macropain) subunits
158	97.1032	oe	ccsbBroad304_07374	PTPLA	-
159	97.0949	kd	CGS001-22894	DIS3	-
